area_type,availability,size,society,location,total_sqft,bath,balcony,price
Super built-up  Area,19-Apr,2 BHK,Brama P,Lulla Nagar,1070,2,1,49.65
Plot  Area,Ready To Move,5 Bedroom,,Mahatma Gandhi Road,1538,5,2,300
Super built-up  Area,Ready To Move,3 BHK,,Mangalwar peth,1355,2,3,58.25
Built-up  Area,Ready To Move,4 BHK,ThBayah,Manik Bagh,3080,2,1,285
Super built-up  Area,Ready To Move,3 BHK,,Market yard,1800,3,3,80
Built-up  Area,Ready To Move,3 BHK,Dhalsh ,Model colony,1400,2,3,50.06
Super built-up  Area,Ready To Move,2 BHK,Aklia R,Mukund Nagar,1123,2,1,48
Plot  Area,Ready To Move,4 Bedroom,,Mundhawa,1200,2,1,130
Built-up  Area,Ready To Move,2 BHK,UKanema,Nagar Road,787,2,1,31
Super built-up  Area,Ready To Move,3 BHK,Prrtht ,Nana Peth,1082,2,1,45
Super built-up  Area,Ready To Move,2 BHK,,Narayan Peth,1096,2,1,41
Plot  Area,Ready To Move,7 Bedroom,,Narayangaon,1200,7,2,140
Plot  Area,Ready To Move,3 Bedroom,,Navi Peth,1140,3,1,130
Carpet  Area,Ready To Move,2 BHK,Niiman ,Padmavati,1130,2,1,52
Built-up  Area,Ready To Move,1 BHK,,Parvati Darshan,550,1,1,12
Super built-up  Area,Ready To Move,2 BHK,,Pashan,1058,2,2,85
Built-up  Area,Ready To Move,3 BHK,Cevely ,Paud Road,1269,2,1,73
Plot  Area,Ready To Move,3 Bedroom,,Pirangut,946,3,,140
Super built-up  Area,Ready To Move,4 BHK,,Prabhat Road,3400,6,,420
Super built-up  Area,19-Jan,4 BHK,PrityFa,Pune Railway Station,2689,6,2,245
Super built-up  Area,18-Oct,3 BHK,DSapeSk,Rasta Peth,1976,3,3,65.21
Super built-up  Area,Ready To Move,3 BHK,Gilleon,Raviwar Peth,1820,3,3,77
Super built-up  Area,Ready To Move,3 BHK,Aklia R,Sadashiv Peth,1329,2,1,56
Super built-up  Area,Ready To Move,3 BHK,,Sahakar Nagar,1350,2,1,80.99
Plot  Area,Ready To Move,4 Bedroom,,Salunke Vihar,1250,3,0,175
Super built-up  Area,Ready To Move,2 BHK,SSthamh,Sasson Road,1205,2,1,40
Plot  Area,Ready To Move,6 Bedroom,,Satara Road,800,6,2,98
Super built-up  Area,Ready To Move,2 BHK,PuandHi,Senapati Bapat Road,1339,2,2,71.5
Super built-up  Area,Ready To Move,2 BHK,,Shaniwar Peth,938,2,0,35
Super built-up  Area,Ready To Move,1 BHK,,Shivaji Nagar,450,1,1,25
Built-up  Area,Ready To Move,2 BHK,Komesa ,Shukrawar Peth,1100,2,2,70
Built-up  Area,Ready To Move,4 Bedroom,,Sinhagad Road,600,3,1,95
Super built-up  Area,Ready To Move,2 BHK,,Somwar Peth,1060,2,1,40
Super built-up  Area,Ready To Move,2 BHK,,Swargate,1125,2,2,40
Built-up  Area,Ready To Move,1 BHK,SatraNa,Tilak Road,810,1,0,21
Super built-up  Area,Ready To Move,2 BHK,,Uruli Devachi,1060,2,1,65
Plot  Area,Ready To Move,4 Bedroom,,Vadgaon Budruk,1749,4,0,90
Super built-up  Area,Ready To Move,3 BHK,,Wadgaon Sheri,1200,2,2,75
Super built-up  Area,Ready To Move,2 BHK,Lehidrc,Viman Nagar,1100,2,1,85
Super built-up  Area,18-May,1 BHK,AsNowre,Vishrant Wadi,660 - 700,1,0,32.64
Plot  Area,Ready To Move,4 Bedroom,,Wagholi,720,4,2,48
Plot  Area,Ready To Move,5 Bedroom,Chranya,Wakadewadi,6613,7,,950
Super built-up  Area,Ready To Move,3 BHK,Goeur G,Wanowrie,1925,3,3,110
Built-up  Area,Ready To Move,1 BHK,,Warje,502,1,1,25
Built-up  Area,Ready To Move,3 Bedroom,Prood G,Yerawada,3339,3,0,250
Built-up  Area,Ready To Move,3 BHK,Arhtsth,Alandi Road,1475,2,2,74
Super built-up  Area,18-Aug,3 BHK,,Ambegaon Budruk,1550,3,2,258
Super built-up  Area,18-Apr,2 BHK,,Anandnagar,966,2,1,49
Plot  Area,Ready To Move,6 Bedroom,,Aundh,1350,6,3,160
Super built-up  Area,Ready To Move,2 BHK,NDionas,Aundh Road,1300,2,2,75
Plot  Area,Ready To Move,5 Bedroom,,Balaji Nagar,4400,4,1,350
Super built-up  Area,21-May,3 BHK,Sourtal,Baner,1559,3,2,120
Super built-up  Area,Ready To Move,2 BHK,,Baner road,1246,2,1,63
Plot  Area,Ready To Move,3 Bedroom,,Bhandarkar Road,2790,3,0,950
Super built-up  Area,Ready To Move,3 BHK,Dhalsh ,Bhavani Peth,1410,2,3,53.58
Plot  Area,Ready To Move,4 Bedroom,,Bibvewadi,1300,3,0,75
Super built-up  Area,Ready To Move,2 BHK,PuandHi,Bopodi,1339,2,2,58
Plot  Area,Ready To Move,4 Bedroom,,Budhwar Peth,900,4,1,75
Super built-up  Area,Ready To Move,2 BHK,Unm 2El,Bund Garden Road,1104,2,1,35.5
Built-up  Area,Ready To Move,2 BHK,,Camp,900,2,2,45
Built-up  Area,Ready To Move,3 BHK,Shestth,Chandan Nagar,1550,2,2,79
Super built-up  Area,20-Dec,1 BHK,GolusLi,Dapodi,670,1,1,35
Super built-up  Area,19-Dec,2 BHK,Ceezey ,Deccan Gymkhana,1483,2,1,98
Super built-up  Area,Ready To Move,3 BHK,Saavenc,Dehu Road,1540,2,2,70
Plot  Area,Ready To Move,8 Bedroom,,Dhankawadi,1200,7,3,100
Super built-up  Area,Ready To Move,2 BHK,,Dhayari Phata,1255,2,1,54.5
Plot  Area,Ready To Move,3 Bedroom,,Dhole Patil Road,600,3,2,100
Super built-up  Area,Ready To Move,2 BHK,,Erandwane,1036,2,2,110
Super built-up  Area,Ready To Move,3 BHK,SNity S,Fatima Nagar,1460,2,2,75
Super built-up  Area,Ready To Move,2 BHK,Wiaysld,Fergusson College Road,1230,2,1,58
Built-up  Area,Ready To Move,2 BHK,PuandHi,Ganesh Peth,1340,2,2,60
Built-up  Area,Ready To Move,3 BHK,,Ganeshkhind,1600,3,3,61.37
Built-up  Area,18-Apr,3 BHK,SoisoCa,Ghorpade Peth,2162,3,1,200
Super built-up  Area,Ready To Move,2 BHK,Itvir M,Ghorpadi,919,2,2,40
Super built-up  Area,18-Aug,2 BHK,,Gokhale Nagar,1070,2,2,38.9
Super built-up  Area,Ready To Move,3 BHK,UmrldDr,Gultekdi,1733,2,3,85
Super built-up  Area,Ready To Move,3 BHK,DLhtsan,Guruwar peth,1221,3,3,72
Super built-up  Area,Ready To Move,2 BHK,,Hadapsar,1041,2,1,36.44
Built-up  Area,Ready To Move,4 BHK,SJodsed,Hadapsar Industrial Estate,2550,4,2,149
Built-up  Area,Ready To Move,3 BHK,,Hingne Khurd,1400,3,1,70
Plot  Area,Ready To Move,1 Bedroom,,Jangali Maharaj Road,600,2,0,55
Built-up  Area,Ready To Move,1 BHK,MaentNa,Kalyani Nagar,710,2,2,40
Super built-up  Area,18-Apr,3 BHK,GMown E,Karve Nagar,1500,2,1,78.25
Super built-up  Area,Ready To Move,4 BHK,Prtanha,Karve Road,3122,6,2,237
Super built-up  Area,Ready To Move,3 BHK,HiahsLa,Kasba Peth,2061,3,3,175
Plot  Area,Ready To Move,5 Bedroom,,Katraj,2400,5,2,325
Super built-up  Area,19-Dec,3 BHK,Magiaya,Khadaki,1255,2,1,95
Super built-up  Area,Ready To Move,7 BHK,,Khadki,2425,7,3,140
Super built-up  Area,Ready To Move,2 BHK,Brods W,Kharadi,1031,2,1,55
Super built-up  Area,18-Jul,2 BHK,Soresea,Kondhwa,1210,2,1,74
Super built-up  Area,Ready To Move,2 BHK,ACopsva,Kondhwa Budruk,950,2,1,40
Plot  Area,Ready To Move,4 Bedroom,,Kondhwa Khurd,1376,4,1,156
Super built-up  Area,18-Dec,2 BHK,Mahesr ,Koregaon Park,1161,2,1,55.15
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,Kothrud,1303,2,2,44.17
Super built-up  Area,Ready To Move,2 BHK,Prtanha,Law College Road,1418,2,2,105
Plot  Area,Ready To Move,2 Bedroom,,Laxmi Road,1200,2,1,65
Super built-up  Area,Ready To Move,3 BHK,,Lulla Nagar,1825,3,,175
Built-up  Area,Ready To Move,2 BHK,Bhhmi L,Mahatma Gandhi Road,1015,2,0,48
Carpet  Area,Ready To Move,3 BHK,,Mangalwar peth,1150,2,0,60
Super built-up  Area,Ready To Move,2 BHK,Priewhi,Manik Bagh,1010,2,1,40
Super built-up  Area,Ready To Move,3 BHK,Sariana,Market yard,1508,3,1,75
Super built-up  Area,Ready To Move,2 BHK,BriumMi,Model colony,1275,2,1,87
Built-up  Area,Ready To Move,3 BHK,Kaiew L,Mukund Nagar,1460,3,1,70
Super built-up  Area,Ready To Move,2 BHK,,Mundhawa,946,2,2,58
Super built-up  Area,Ready To Move,2 BHK,Alows M,Nagar Road,1110,2,2,58
Super built-up  Area,Ready To Move,3 BHK,SaireSa,Nana Peth,1832,3,1,125
Super built-up  Area,18-Apr,2 BHK,Arcia S,Narayan Peth,1088,2,2,61.45
Super built-up  Area,Ready To Move,3 BHK,Soitya ,Narayangaon,1564,3,1,104
Super built-up  Area,18-Jan,2 BHK,Prclee ,Navi Peth,1030,2,1,35.02
Super built-up  Area,Ready To Move,2 BHK,,Padmavati,660,2,0,27
Super built-up  Area,Ready To Move,3 BHK,Asncywo,Parvati Darshan,1700,3,1,95
Plot  Area,Ready To Move,4 Bedroom,,Pashan,1100,5,2,121
Super built-up  Area,18-Feb,2 BHK,,Paud Road,1205,2,2,62.9
Super built-up  Area,Ready To Move,3 BHK,,Pirangut,1950,3,2,90
Super built-up  Area,18-May,2 BHK,,Prabhat Road,1080,2,1,62
Built-up  Area,Ready To Move,4 BHK,AWharde,Pune Railway Station,2800,4,,140
Super built-up  Area,19-Jan,2 BHK,Hanar I,Rasta Peth,999,2,1,43.66
Plot  Area,Ready To Move,4 Bedroom,,Raviwar Peth,900,4,3,175
Super built-up  Area,19-Jul,2 BHK,Soazak ,Sadashiv Peth,1300,2,1,89.76
Super built-up  Area,Ready To Move,2 BHK,Srayatr,Sahakar Nagar,1265,2,1,78
Built-up  Area,Ready To Move,2 BHK,,Salunke Vihar,1200,2,2,42
Super built-up  Area,18-Mar,4 BHK,Rosha I,Sasson Road,1974,4,0,106
Super built-up  Area,Ready To Move,2 BHK,Goezell,Satara Road,1180,2,2,40
Super built-up  Area,Ready To Move,3 BHK,,Senapati Bapat Road,1350,2,3,63
Super built-up  Area,Ready To Move,3 BHK,DiamiSa,Shaniwar Peth,1560,2,2,65
Plot  Area,Ready To Move,2 Bedroom,,Shivaji Nagar,2800,2,0,650
Super built-up  Area,18-Aug,2 BHK,Maunt M,Shukrawar Peth,1085,2,1,41.23
Super built-up  Area,Ready To Move,3 BHK,J axyGa,Sinhagad Road,1300,2,2,75
Super built-up  Area,Ready To Move,3 BHK,Afncyad,Somwar Peth,1600,3,2,56
Super built-up  Area,Ready To Move,2 BHK,,Swargate,1127,2,2,55
Super built-up  Area,Ready To Move,2 BHK,Malowr ,Tilak Road,795,2,2,32
Super built-up  Area,Ready To Move,3 BHK,,Uruli Devachi,1850,3,2,88
Built-up  Area,18-Jul,2 BHK,,Vadgaon Budruk,1020,2,1,29.45
Built-up  Area,Ready To Move,3 BHK,KroneMo,Wadgaon Sheri,1475,2,1,200
Plot  Area,Ready To Move,3 Bedroom,,Viman Nagar,1200,3,3,96.25
Super built-up  Area,Ready To Move,3 BHK,Aklia R,Vishrant Wadi,1345,2,1,47
Super built-up  Area,19-Nov,2 BHK,,Wagholi,849,2,1,25.4
Super built-up  Area,19-Sep,3 BHK,Soazak ,Wakadewadi,1706,3,2,135
Super built-up  Area,19-Dec,4 BHK,LedorSa,Wanowrie,2100,4,1,180
Super built-up  Area,Ready To Move,3 BHK,,Warje,1250,2,2,65
Built-up  Area,Ready To Move,3 BHK,JRrnauv,Yerawada,1260,3,3,63.58
Super built-up  Area,Ready To Move,3 BHK,,Alandi Road,1265,2,1,65
Super built-up  Area,17-Nov,3 BHK,AdhriPa,Ambegaon Budruk,1260,2,1,45
Super built-up  Area,18-Dec,2 BHK,Vaniai ,Anandnagar,1045,2,1,58
Super built-up  Area,Ready To Move,4 BHK,,Aundh,3895,4,2,495
Super built-up  Area,18-May,1 RK,AsNowre,Aundh Road,385 - 440,1,0,19.8
Super built-up  Area,17-Jun,2 BHK,,Balaji Nagar,1100,2,3,62
Super built-up  Area,19-Sep,2 BHK,Srods P,Baner,1113,2,1,50
Super built-up  Area,18-Dec,4 BHK,Jaades ,Baner road,2774,4,3,208
Built-up  Area,Ready To Move,2 BHK,Vaensia,Bhandarkar Road,1210,2,1,60
Super built-up  Area,Ready To Move,1 BHK,,Bhavani Peth,700,1,1,30.84
Super built-up  Area,18-May,2 BHK,NellsKo,Bibvewadi,1155,2,1,55.5
Super built-up  Area,22-Jun,2 BHK,GoAirej,Bopodi,1132,2,1,89
Super built-up  Area,18-Jan,2 BHK,Asadacy,Budhwar Peth,1359,2,2,104
Super built-up  Area,Ready To Move,4 BHK,Reeroce,Bund Garden Road,2631,3,,200
Super built-up  Area,Ready To Move,2 BHK,,Camp,1145,2,2,56
Built-up  Area,Ready To Move,1 BHK,Shenshi,Chandan Nagar,600,1,1,30
Plot  Area,Ready To Move,1 Bedroom,,Dapodi,1200,1,1,125
Built-up  Area,Ready To Move,2 BHK,,Deccan Gymkhana,830,2,1,60
Super built-up  Area,Ready To Move,2 BHK,Ammesss,Dehu Road,1009,2,2,56
Super built-up  Area,Ready To Move,3 BHK,Soarkig,Dhankawadi,1800,3,2,195
Super built-up  Area,Ready To Move,2 BHK,Niareum,Dhayari Phata,1226,2,2,52.71
Super built-up  Area,Ready To Move,2 BHK,,Dhole Patil Road,1500,2,2,88
Super built-up  Area,Ready To Move,2 BHK,Prarkun,Erandwane,1363,2,1,79
Built-up  Area,Ready To Move,3 Bedroom,,Fatima Nagar,1400,2,1,240
Built-up  Area,18-Dec,2 BHK,,Fergusson College Road,1165,2,1,33.64
Built-up  Area,Ready To Move,4 Bedroom,Rocid P,Ganesh Peth,2792,4,1,220
Built-up  Area,Ready To Move,1 Bedroom,,Ganeshkhind,700,1,0,59
Super built-up  Area,Ready To Move,2 BHK,May 2ge,Ghorpade Peth,1060,2,2,42
Built-up  Area,Ready To Move,2 BHK,Vantsra,Ghorpadi,1200,2,1,67
Built-up  Area,18-Dec,3 BHK,,Gokhale Nagar,1518,3,2,76
Built-up  Area,Ready To Move,3 BHK,Ablmsol,Gultekdi,1495,2,2,75
Built-up  Area,Ready To Move,2 BHK,,Guruwar peth,1575,2,2,90
Built-up  Area,Ready To Move,2 BHK,Brway G,Hadapsar,1440,2,2,170
Super built-up  Area,18-Dec,3 BHK,Goaysn ,Hadapsar Industrial Estate,1545,3,1,69
Built-up  Area,Ready To Move,3 BHK,Akdorli,Hingne Khurd,1470,3,3,50
Super built-up  Area,Ready To Move,3 BHK,,Jangali Maharaj Road,1500,3,3,95
Built-up  Area,Ready To Move,3 BHK,Myace P,Kalyani Nagar,1450,2,2,81
Super built-up  Area,Ready To Move,2 BHK,,Karve Nagar,1179,2,1,49
Super built-up  Area,Ready To Move,3 BHK,Eladero,Karve Road,1650,3,2,110
Super built-up  Area,Ready To Move,3 BHK,Arhid O,Kasba Peth,1095,2,2,32
Built-up  Area,18-Jan,2 BHK,,Katraj,856,2,1,48
Super built-up  Area,Ready To Move,2 BHK,Malmsri,Khadaki,1143,2,1,62
Super built-up  Area,Ready To Move,2 BHK,Prersis,Khadki,1349,2,1,97.8
Built-up  Area,Ready To Move,3 BHK,ACopsva,Kharadi,1280,2,2,45
Super built-up  Area,Ready To Move,1 BHK,,Kondhwa,480,1,1,60
Super built-up  Area,18-Dec,2 BHK,Prtates,Kondhwa Budruk,1216,2,1,69.06
Super built-up  Area,Ready To Move,3 BHK,,Kondhwa Khurd,2493,3,,115
Super built-up  Area,Ready To Move,2 BHK,PantsAp,Koregaon Park,1290,2,1,120
Plot  Area,Ready To Move,5 Bedroom,,Kothrud,1200,5,2,96
Super built-up  Area,Ready To Move,2 BHK,Elodsre,Law College Road,1156,2,2,42
Super built-up  Area,Ready To Move,2 BHK,MenueNo,Laxmi Road,1230,2,2,44
Super built-up  Area,Ready To Move,2 BHK,PSterAs,Lulla Nagar,1070,2,2,33.15
Plot  Area,Immediate Possession,,Emngs S,Mahatma Gandhi Road,2100 - 5405,,,177.115
Super built-up  Area,18-Aug,2 BHK,ViistLa,Mangalwar peth,1235,2,1,49.3
Built-up  Area,Ready To Move,2 BHK,Krone S,Manik Bagh,1117,2,1,110
Super built-up  Area,Ready To Move,3 BHK,Dieldli,Market yard,1724,3,2,124
Plot  Area,Ready To Move,4 Bedroom,,Model colony,1200,4,0,90
Super built-up  Area,Ready To Move,1 BHK,Raiyai ,Mukund Nagar,600,1,1,43
Super built-up  Area,Ready To Move,3 BHK,DSise S,Mundhawa,1930,2,2,57.9
Super built-up  Area,18-Dec,2 BHK,Prtates,Nagar Road,1216,2,1,75
Built-up  Area,Ready To Move,3 BHK,ViionMa,Nana Peth,1452,3,3,60
Super built-up  Area,Ready To Move,2 BHK,Veale R,Narayan Peth,1355,2,3,78
Built-up  Area,Ready To Move,4 Bedroom,,Narayangaon,7500,4,,425
Super built-up  Area,Ready To Move,3 BHK,Adeatlm,Navi Peth,2145,3,3,190
Super built-up  Area,Ready To Move,2 BHK,Varlsa ,Padmavati,957,2,1,53
Built-up  Area,Ready To Move,2 BHK,Maest N,Parvati Darshan,925,2,2,48
Super built-up  Area,Ready To Move,2 BHK,Grntsd ,Pashan,1550,2,3,59
Plot  Area,Ready To Move,4 Bedroom,,Paud Road,4000,2,1,899
Plot  Area,20-Jul,3 Bedroom,,Pirangut,2100,3,2,140
Super built-up  Area,21-Dec,2 BHK,PrarePa,Prabhat Road,1115,2,1,61
Super built-up  Area,Ready To Move,3 BHK,NCowsar,Pune Railway Station,1692,3,2,83
Super built-up  Area,Ready To Move,2 BHK,,Rasta Peth,1100,2,2,52
Super built-up  Area,Ready To Move,3 BHK,ARureig,Raviwar Peth,1385,2,2,69
Super built-up  Area,Ready To Move,1 BHK,Amelllu,Sadashiv Peth,760,1,1,24.9
Super built-up  Area,19-Dec,2 BHK,Shitt S,Sahakar Nagar,1335,2,2,67
Super built-up  Area,Ready To Move,2 BHK,Kut 3or,Salunke Vihar,910,2,1,45
Super built-up  Area,Ready To Move,3 BHK,MGBay T,Sasson Road,1610,2,2,55
Super built-up  Area,19-Mar,2 BHK,Puachal,Satara Road,1341,2,1,75.76
Plot  Area,Ready To Move,3 Bedroom,,Senapati Bapat Road,1200,3,0,70
Super built-up  Area,Ready To Move,3 BHK,SLnssPr,Shaniwar Peth,1285,2,2,44.98
Super built-up  Area,Ready To Move,3 BHK,,Shivaji Nagar,2100,3,,252
Super built-up  Area,Ready To Move,3 BHK,IBityin,Shukrawar Peth,1679,3,,92.13
Built-up  Area,Ready To Move,4 Bedroom,,Sinhagad Road,2675,4,2,290
Built-up  Area,Ready To Move,2 BHK,,Somwar Peth,1016,2,1,45.9
Built-up  Area,Ready To Move,4 Bedroom,,Swargate,1500,2,0,650
Plot  Area,Ready To Move,3 Bedroom,,Tilak Road,660,2,1,100
Super built-up  Area,Ready To Move,3 BHK,PhestOn,Uruli Devachi,2448,3,2,400
Super built-up  Area,Ready To Move,2 BHK,,Vadgaon Budruk,924,2,2,35.11
Super built-up  Area,18-Jul,1 BHK,Maian M,Wadgaon Sheri,500,1,1,31
Super built-up  Area,Ready To Move,3 BHK,,Viman Nagar,1800,3,2,88
Super built-up  Area,Ready To Move,2 BHK,Vixirri,Vishrant Wadi,1255,2,3,77
Super built-up  Area,18-Dec,2 BHK,Inaxyga,Wagholi,1040,2,2,50
Super built-up  Area,Ready To Move,2 BHK,Vehida ,Wakadewadi,1062,2,2,47
Super built-up  Area,19-Dec,2 BHK,Aseenh ,Wanowrie,770 - 841,2,0,19.33
Super built-up  Area,Ready To Move,2 BHK,Nimesch,Warje,950,2,1,60
Super built-up  Area,18-May,2 BHK,Prtates,Yerawada,1216,2,1,73
Super built-up  Area,Ready To Move,2 BHK,AdadeEs,Alandi Road,1300,2,2,98
Super built-up  Area,Ready To Move,2 BHK,,Ambegaon Budruk,1390,2,2,65
Super built-up  Area,19-Jul,2 BHK,Goues A,Anandnagar,1033,2,1,52.58
Super built-up  Area,19-Dec,2 BHK,Goues A,Aundh,1390,2,2,65.31
Super built-up  Area,Ready To Move,2 BHK,,Aundh Road,1020,2,1,52
Super built-up  Area,19-Dec,1 BHK,Oreldhi,Balaji Nagar,524 - 894,1,0,34.735
Super built-up  Area,18-Oct,2 BHK,ARipsul,Baner,1140,2,2,45
Super built-up  Area,Ready To Move,1 BHK,IBityin,Baner road,670,1,1,36.85
Super built-up  Area,18-Jul,4 BHK,Rosha I,Bhandarkar Road,2171,4,2,111
Super built-up  Area,Ready To Move,2 BHK,Gundaa ,Bhavani Peth,1136,2,1,48
Built-up  Area,Ready To Move,3 BHK,Sueesti,Bibvewadi,1477,2,2,80
Super built-up  Area,Ready To Move,2 BHK,,Bopodi,1001,2,2,30
Super built-up  Area,19-Dec,2 BHK,Goues A,Budhwar Peth,1040,2,1,48.86
Super built-up  Area,Ready To Move,2 BHK,,Bund Garden Road,1060,2,1,48.5
Super built-up  Area,Ready To Move,2 BHK,,Camp,1240,2,1,44.3
Super built-up  Area,Ready To Move,4 BHK,ETntsce,Chandan Nagar,3500,5,,450
Super built-up  Area,Ready To Move,9 BHK,,Dapodi,42000,8,3,175
Super built-up  Area,20-Dec,2 BHK,Myple M,Deccan Gymkhana,1070,2,2,46
Built-up  Area,Ready To Move,2 BHK,SJmesst,Dehu Road,1253,2,1,65.8
Super built-up  Area,Ready To Move,2 BHK,Srmesun,Dhankawadi,1190,2,2,60
Super built-up  Area,Ready To Move,2 BHK,Sparam ,Dhayari Phata,1312,2,2,55
Built-up  Area,Ready To Move,2 BHK,HovasTe,Dhole Patil Road,750,2,0,40
Built-up  Area,Ready To Move,3 BHK,KHage G,Erandwane,1615,3,2,115
Built-up  Area,Ready To Move,2 BHK,,Fatima Nagar,1095,2,1,60
Super built-up  Area,Ready To Move,3 BHK,Gotis A,Fergusson College Road,1745,3,3,100
Super built-up  Area,Ready To Move,2 BHK,,Ganesh Peth,1050,2,2,52.5
Plot  Area,Ready To Move,4 Bedroom,,Ganeshkhind,2080,4,2,440
Super built-up  Area,Ready To Move,2 BHK,MenueNo,Ghorpade Peth,1220,2,1,44.6
Super built-up  Area,Ready To Move,3 BHK,Sonumy ,Ghorpadi,1793,3,2,98
Super built-up  Area,Ready To Move,2 BHK,,Gokhale Nagar,1100,1,2,45
Super built-up  Area,Ready To Move,2 BHK,Covelrs,Gultekdi,1385,2,3,65
Super built-up  Area,Ready To Move,2 BHK,,Guruwar peth,1200,2,2,45
Super built-up  Area,Ready To Move,3 BHK,NDionas,Hadapsar,2017,2,2,125
Super built-up  Area,Ready To Move,1 BHK,Jae 1hu,Hadapsar Industrial Estate,400,1,1,10
Super built-up  Area,18-Apr,3 BHK,,Hingne Khurd,1400,2,2,44.81
Super built-up  Area,Ready To Move,2 BHK,Saaveir,Jangali Maharaj Road,960,2,1,33
Super built-up  Area,Ready To Move,2 BHK,Aklia R,Kalyani Nagar,1125,2,1,47
Super built-up  Area,Ready To Move,3 BHK,Javasi ,Karve Nagar,1551,2,2,60
Plot  Area,Ready To Move,4 Bedroom,,Karve Road,600,4,2,122
Super built-up  Area,Ready To Move,2 BHK,,Kasba Peth,1246,2,1,67.4
Built-up  Area,18-Apr,4 BHK,,Katraj,3200,4,3,224
Super built-up  Area,Ready To Move,2 BHK,SrncyRe,Khadaki,1060,2,1,48
Super built-up  Area,Ready To Move,2 BHK,ReudePr,Khadki,1384,2,2,59
Super built-up  Area,Ready To Move,2 BHK,VBavaai,Kharadi,620,2,1,23
Super built-up  Area,18-Jun,2 BHK,SSestth,Kondhwa,1005,2,1,39.77
Plot  Area,Ready To Move,3 Bedroom,,Kondhwa Budruk,1200,3,2,128
Built-up  Area,Ready To Move,3 BHK,,Kondhwa Khurd,1400,3,2,35
Super built-up  Area,Ready To Move,3 BHK,SrisePo,Koregaon Park,2400,3,3,88
Super built-up  Area,Ready To Move,2 BHK,Rabow R,Kothrud,1096,2,1,39
Super built-up  Area,Ready To Move,2 BHK,,Law College Road,1180,1,0,50
Super built-up  Area,Ready To Move,3 BHK,,Laxmi Road,1300,2,1,47
Plot  Area,18-Apr,2 Bedroom,,Lulla Nagar,1020,2,1,62
Plot  Area,Ready To Move,2 Bedroom,,Mahatma Gandhi Road,600,2,0,35
Super built-up  Area,Ready To Move,4 BHK,Vacesi ,Mangalwar peth,3563,6,1,310
Super built-up  Area,Ready To Move,2 BHK,,Manik Bagh,1165,2,2,47
Super built-up  Area,18-Mar,3 BHK,NiCodCa,Market yard,1685,3,3,100
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,Model colony,1580,3,3,53.56
Super built-up  Area,Ready To Move,2 BHK,Soresea,Mukund Nagar,1210,2,1,83
Super built-up  Area,Ready To Move,2 BHK,DSOakil,Mundhawa,1030,1,2,25.75
Built-up  Area,Ready To Move,2 BHK,,Nagar Road,1100,2,2,43.5
Super built-up  Area,19-Dec,3 BHK,Magiaya,Nana Peth,1255,3,2,77.68
Super built-up  Area,20-Dec,3 BHK,ArndsSk,Narayan Peth,1482,3,2,86
Super built-up  Area,Ready To Move,2 BHK,Prersis,Narayangaon,1344,2,1,108
Super built-up  Area,18-Jun,3 BHK,,Navi Peth,1275,2,2,39.8
Plot  Area,Ready To Move,3 Bedroom,,Padmavati,462,3,,38
Super built-up  Area,Ready To Move,4 BHK,SNtua S,Parvati Darshan,3300,5,3,318
Super built-up  Area,Ready To Move,2 BHK,,Pashan,1210,2,2,85
Super built-up  Area,19-Jun,3 BHK,Raard B,Paud Road,1320,3,3,226
Super built-up  Area,19-Mar,3 BHK,Skume R,Pirangut,1532,3,2,98.13
Super built-up  Area,Ready To Move,2 BHK,Maerar ,Prabhat Road,1245,2,2,110
Super built-up  Area,Ready To Move,2 BHK,MaentNa,Pune Railway Station,1212,2,,50
Super built-up  Area,18-Oct,2 BHK,,Rasta Peth,1230,2,1,65
Plot  Area,Ready To Move,5 Bedroom,,Raviwar Peth,1000,5,2,180
Super built-up  Area,Ready To Move,3 BHK,DNeremo,Sadashiv Peth,2257,3,2,159
Super built-up  Area,Ready To Move,2 BHK,,Sahakar Nagar,1246,2,1,65.4
Super built-up  Area,Ready To Move,2 BHK,Akncyes,Salunke Vihar,1080,2,2,41
Plot  Area,Ready To Move,6 Bedroom,,Sasson Road,3Cents,6,3,75
Super built-up  Area,Ready To Move,3 BHK,Vaensia,Satara Road,1360,2,3,85
Super built-up  Area,Ready To Move,2 BHK,,Senapati Bapat Road,1260,2,2,47.88
Built-up  Area,Ready To Move,4 Bedroom,,Shaniwar Peth,1200,3,0,110
Super built-up  Area,Ready To Move,2 BHK,Prtanha,Shivaji Nagar,1418,2,2,104
Plot  Area,Ready To Move,3 Bedroom,,Shukrawar Peth,1200,3,1,165
Super built-up  Area,Ready To Move,2 BHK,,Sinhagad Road,950,2,1,39
Super built-up  Area,Ready To Move,2 BHK,,Somwar Peth,1020,2,2,55
Super built-up  Area,18-May,3 BHK,Sryalan,Swargate,1400,2,2,40.44
Plot  Area,Ready To Move,4 Bedroom,,Tilak Road,1440,4,0,88
Built-up  Area,Ready To Move,6 BHK,,Uruli Devachi,800,6,2,75
Super built-up  Area,18-Sep,3 BHK,MCnexva,Vadgaon Budruk,1310 - 1615,,,62.81
Super built-up  Area,18-May,2 BHK,Shitt S,Wadgaon Sheri,1175,2,1,69
